Cat_Namee,Can_Name,Name,C_Votes,ab_c_votes,ab_p_votes,ab_emer_votes1,rtot,Textbox5,Textbox7,Textbox11,ab_emer_votes,Textbox13
AUDITOR  EAST HANOVER,Carol  SOWERS,East Hanover Township--1st Precinct,331,9,0,0,340,710,13,0,0,723
AUDITOR  EAST HANOVER,Carol  SOWERS,East Hanover Township--2nd Precinct,379,4,0,0,383,710,13,0,0,723
AUDITOR  EAST HANOVER,Write In  ,East Hanover Township--1st Precinct,1,0,0,0,1,3,0,0,0,3
AUDITOR  EAST HANOVER,Write In  ,East Hanover Township--2nd Precinct,2,0,0,0,2,3,0,0,0,3
AUDITOR  LONDONDERRY,Ralph  HECK,Londonderry Twp--1st Precinct,254,0,0,0,254,596,4,0,0,600
AUDITOR  LONDONDERRY,Ralph  HECK,Londonderry Twp--2nd Precinct,233,3,0,0,236,596,4,0,0,600
AUDITOR  LONDONDERRY,Ralph  HECK,Londonderry Twp--3rd Precinct,109,1,0,0,110,596,4,0,0,600
AUDITOR  LONDONDERRY,Write In  ,Londonderry Twp--1st Precinct,0,0,0,0,0,1,0,0,0,1
AUDITOR  LONDONDERRY,Write In  ,Londonderry Twp--2nd Precinct,1,0,0,0,1,1,0,0,0,1
AUDITOR  LONDONDERRY,Write In  ,Londonderry Twp--3rd Precinct,0,0,0,0,0,1,0,0,0,1
AUDITOR 2YR DERRY,Joseph A. MIERSKI,Derry Township--1st Precinct,149,1,0,0,150,1430,32,0,0,1462
AUDITOR 2YR DERRY,Joseph A. MIERSKI,Derry Township--2nd Precinct,104,4,0,0,108,1430,32,0,0,1462
AUDITOR 2YR DERRY,Joseph A. MIERSKI,Derry Township--3rd Precinct,118,3,0,0,121,1430,32,0,0,1462
AUDITOR 2YR DERRY,Joseph A. MIERSKI,Derry Township--4th Precinct,71,1,0,0,72,1430,32,0,0,1462
AUDITOR 2YR DERRY,Joseph A. MIERSKI,Derry Township--5th Precinct,54,0,0,0,54,1430,32,0,0,1462
AUDITOR 2YR DERRY,Joseph A. MIERSKI,Derry Township--6th Precinct,67,1,0,0,68,1430,32,0,0,1462
AUDITOR 2YR DERRY,Joseph A. MIERSKI,Derry Township--7th Precinct,115,6,0,0,121,1430,32,0,0,1462
AUDITOR 2YR DERRY,Joseph A. MIERSKI,Derry Township--8th Precinct,76,0,0,0,76,1430,32,0,0,1462
AUDITOR 2YR DERRY,Joseph A. MIERSKI,Derry Township--9th Precinct,55,2,0,0,57,1430,32,0,0,1462
AUDITOR 2YR DERRY,Joseph A. MIERSKI,Derry Township--10th Precinct,86,2,0,0,88,1430,32,0,0,1462
AUDITOR 2YR DERRY,Joseph A. MIERSKI,Derry Township--11th Precinct,140,2,0,0,142,1430,32,0,0,1462
AUDITOR 2YR DERRY,Joseph A. MIERSKI,Derry Township--12th Precinct,77,2,0,0,79,1430,32,0,0,1462
AUDITOR 2YR DERRY,Joseph A. MIERSKI,Derry Township--13th Precinct,101,1,0,0,102,1430,32,0,0,1462
AUDITOR 2YR DERRY,Joseph A. MIERSKI,Derry Township--14th Precinct,78,3,0,0,81,1430,32,0,0,1462
AUDITOR 2YR DERRY,Joseph A. MIERSKI,Derry Township--15th Precinct,139,4,0,0,143,1430,32,0,0,1462
AUDITOR 2YR DERRY,Matthew P. DAVIES,Derry Township--1st Precinct,245,4,0,0,249,2528,55,2,0,2585
AUDITOR 2YR DERRY,Matthew P. DAVIES,Derry Township--2nd Precinct,180,3,0,0,183,2528,55,2,0,2585
AUDITOR 2YR DERRY,Matthew P. DAVIES,Derry Township--3rd Precinct,143,2,0,0,145,2528,55,2,0,2585
AUDITOR 2YR DERRY,Matthew P. DAVIES,Derry Township--4th Precinct,131,5,0,0,136,2528,55,2,0,2585
AUDITOR 2YR DERRY,Matthew P. DAVIES,Derry Township--5th Precinct,107,3,0,0,110,2528,55,2,0,2585
AUDITOR 2YR DERRY,Matthew P. DAVIES,Derry Township--6th Precinct,126,1,1,0,128,2528,55,2,0,2585
AUDITOR 2YR DERRY,Matthew P. DAVIES,Derry Township--7th Precinct,291,11,0,0,302,2528,55,2,0,2585
AUDITOR 2YR DERRY,Matthew P. DAVIES,Derry Township--8th Precinct,121,0,0,0,121,2528,55,2,0,2585
AUDITOR 2YR DERRY,Matthew P. DAVIES,Derry Township--9th Precinct,83,3,0,0,86,2528,55,2,0,2585
AUDITOR 2YR DERRY,Matthew P. DAVIES,Derry Township--10th Precinct,187,2,0,0,189,2528,55,2,0,2585
AUDITOR 2YR DERRY,Matthew P. DAVIES,Derry Township--11th Precinct,234,7,0,0,241,2528,55,2,0,2585
AUDITOR 2YR DERRY,Matthew P. DAVIES,Derry Township--12th Precinct,140,1,0,0,141,2528,55,2,0,2585
AUDITOR 2YR DERRY,Matthew P. DAVIES,Derry Township--13th Precinct,186,7,0,0,193,2528,55,2,0,2585
AUDITOR 2YR DERRY,Matthew P. DAVIES,Derry Township--14th Precinct,116,3,0,0,119,2528,55,2,0,2585
AUDITOR 2YR DERRY,Matthew P. DAVIES,Derry Township--15th Precinct,238,3,1,0,242,2528,55,2,0,2585
AUDITOR 2YR DERRY,Write In  ,Derry Township--1st Precinct,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR DERRY,Write In  ,Derry Township--2nd Precinct,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR DERRY,Write In  ,Derry Township--3rd Precinct,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR DERRY,Write In  ,Derry Township--4th Precinct,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR DERRY,Write In  ,Derry Township--5th Precinct,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR DERRY,Write In  ,Derry Township--6th Precinct,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR DERRY,Write In  ,Derry Township--7th Precinct,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR DERRY,Write In  ,Derry Township--8th Precinct,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR DERRY,Write In  ,Derry Township--9th Precinct,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR DERRY,Write In  ,Derry Township--10th Precinct,0,0,0,0,0,0,0,0,0,0
AUDITOR 2YR DERRY,Write In  ,Derry Township--11th Precinct,0,0,0,0,0,0,0,0,0,0
