Cat_Namee,Can_Name,Name,C_Votes,ab_c_votes,ab_p_votes,ab_emer_votes1,rtot,Textbox5,Textbox7,Textbox11,ab_emer_votes,Textbox13
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--1st Ward, 1st Precinct",114,3,0,0,117,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--1st Ward, 2nd Precinct",353,2,0,0,355,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--1st Ward, 3rd Precinct",197,2,0,0,199,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--2nd Ward, 1st Precinct",113,3,0,0,116,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--2nd Ward, 2nd Precinct",155,1,2,0,158,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,City--3rd Ward,190,6,0,0,196,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,City--4th Ward,235,15,0,0,250,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,City--5th Ward,448,20,0,0,468,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,City--6th Ward,244,5,0,0,249,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--7th Ward, 1st Precinct",140,10,1,0,151,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--7th Ward, 2nd Precinct",429,2,4,0,435,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,City--8th Ward,378,4,0,0,382,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--9th Ward, 1st Precinct",123,5,0,0,128,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--9th Ward, 2nd Precinct",259,1,1,0,261,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--9th Ward, 3rd Precinct",443,4,1,0,448,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--9th Ward, 4th Precinct",304,16,0,0,320,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--9th Ward, 5th Precinct",252,5,0,0,257,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--10th Ward, 1st Precinct",443,4,0,0,447,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--10th Ward, 2nd Precinct",322,0,0,0,322,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--10th Ward, 3rd Precinct",110,7,0,0,117,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--10th Ward, 4th Precinct",406,1,0,0,407,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,City--11th Ward,327,30,0,0,357,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,City--12th Ward,407,11,1,0,419,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--13th Ward, 1st Precinct",248,3,0,0,251,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--13th Ward, 2nd Precinct",246,3,0,0,249,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"City--13th Ward, 3rd Precinct",374,1,1,0,376,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,City--14th Ward,449,11,1,0,461,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,City--15th Ward,198,1,0,0,199,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,Berrysburg Borough,32,0,0,0,32,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,Dauphin Borough,106,4,0,0,110,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,Elizabethville Borough,75,4,0,0,79,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,Gratz Borough,32,0,0,0,32,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,Halifax Borough,44,0,0,0,44,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,Highspire--1st Precinct,116,1,0,0,117,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,Highspire--2nd Precinct,107,2,0,0,109,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,Hummelstown--1st Precinct,170,5,0,0,175,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,Hummelstown--2nd Precinct,259,4,0,0,263,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,Lykens Borough--1st Ward,66,0,0,0,66,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,Lykens Borough--2nd Ward,68,1,0,0,69,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"Middletown--1st Ward, 1st Precinct",90,1,0,0,91,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"Middletown--1st Ward, 2nd Precinct",123,2,1,0,126,33903,882,28,0,34813
GOVERNOR AND LIEUTENANT GOVERNOR,Dan  ONORATO,"Middletown--2nd Ward, 1st Precinct",141,3,0,0,144,33903,882,28,0,34813
